Options: Namespace(adapt_features=True, batch_normalisation='basic', batch_size=4, checkpoint_dir='checkpoint/runorbit_v2', classifier='versa', clip_length=8, context_shot=5, context_video_type='clean', data_path='../dataset/orbit_benchmark_224', epochs=10, feature_adaptation_method='generate', feature_extractor='efficientnetb0', frame_size=224, gpu=0, learn_extractor=False, learning_rate=0.0001, mode='train_test', model_path=None, no_preload_clips=False, num_lite_samples=4, preload_clips=True, pretrained_extractor_path='features/pretrained/efficientnetb0_imagenet_224.pth', print_by_step=True, subsample_factor=1, target_shot=2, target_video_type='clutter', tasks_per_batch=16, test_context_num_clips=8, test_context_shot_method='max', test_set='test', test_target_num_clips='max', test_target_shot_method='max', test_tasks_per_user=5, test_way_method='max', train_context_num_clips=4, train_context_shot_method='random', train_object_cap=15, train_target_num_clips=4, train_target_shot_method='random', train_task_type='user_centric', train_tasks_per_user=50, train_way_method='random', use_two_gpus=False, validation_on_epoch=5, with_lite=True, with_train_shot_caps=False)

Checkpoint Directory: checkpoint/runorbit_v2/2021-11-02-22-07-56

epoch [1/10][146/2200], train loss: 5.5311041, frame_acc: 100.00, time/task: 0m04s
epoch [1/10][147/2200], train loss: 3.0373287, frame_acc: 0.00, time/task: 0m01s
epoch [1/10][148/2200], train loss: 0.1922816, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][149/2200], train loss: 0.0001048, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][150/2200], train loss: 0.0002294, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][151/2200], train loss: 1.8146527, frame_acc: 50.00, time/task: 0m01s
epoch [1/10][152/2200], train loss: 0.0007903, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][153/2200], train loss: 6.2237530, frame_acc: 75.00, time/task: 0m03s
epoch [1/10][154/2200], train loss: 0.5724025, frame_acc: 75.00, time/task: 0m00s
epoch [1/10][155/2200], train loss: 14.6383438, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][156/2200], train loss: 2.3166168, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][157/2200], train loss: 6.8704472, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][158/2200], train loss: 0.0001310, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][159/2200], train loss: 3.7254109, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][160/2200], train loss: 102.7461472, frame_acc: 100.00, time/task: 0m05s
epoch [1/10][161/2200], train loss: 0.0067343, frame_acc: 100.00, time/task: 0m04s
epoch [1/10][162/2200], train loss: 4.8530340, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][163/2200], train loss: 0.1809198, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][164/2200], train loss: 9.2888107, frame_acc: 50.00, time/task: 0m04s
epoch [1/10][165/2200], train loss: 0.0001085, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][166/2200], train loss: 0.9674996, frame_acc: 50.00, time/task: 0m01s
epoch [1/10][167/2200], train loss: 4.4561353, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][168/2200], train loss: 2.8411610, frame_acc: 75.00, time/task: 0m03s
epoch [1/10][169/2200], train loss: 18.3204250, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][170/2200], train loss: 0.0000814, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][171/2200], train loss: 2.7109377, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][172/2200], train loss: 0.0572148, frame_acc: 75.00, time/task: 0m01s
epoch [1/10][173/2200], train loss: 3.2495427, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][174/2200], train loss: 4.3258662, frame_acc: 50.00, time/task: 0m01s
epoch [1/10][175/2200], train loss: 1.6895623, frame_acc: 75.00, time/task: 0m01s
epoch [1/10][176/2200], train loss: 5.1466365, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][177/2200], train loss: 1.8585498, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][178/2200], train loss: 18.9262066, frame_acc: 100.00, time/task: 0m08s
epoch [1/10][179/2200], train loss: 1.4329650, frame_acc: 50.00, time/task: 0m02s
epoch [1/10][180/2200], train loss: 0.1476602, frame_acc: 75.00, time/task: 0m01s
epoch [1/10][181/2200], train loss: 7.2992368, frame_acc: 25.00, time/task: 0m02s
epoch [1/10][182/2200], train loss: 0.0001591, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][183/2200], train loss: 5.7025199, frame_acc: 75.00, time/task: 0m02s
epoch [1/10][184/2200], train loss: 7.3373775, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][185/2200], train loss: 1.0328393, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][186/2200], train loss: 0.0000841, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][187/2200], train loss: 0.0000841, frame_acc: 100.00, time/task: 0m01s
epoch [1/10][188/2200], train loss: 3.2962172, frame_acc: 100.00, time/task: 0m03s
epoch [1/10][189/2200], train loss: 181.5454865, frame_acc: 50.00, time/task: 0m09s
epoch [1/10][190/2200], train loss: 16.0421562, frame_acc: 100.00, time/task: 0m05s
epoch [1/10][191/2200], train loss: 0.0001410, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][192/2200], train loss: 39.8573456, frame_acc: 50.00, time/task: 0m05s
epoch [1/10][193/2200], train loss: 41.2978859, frame_acc: 50.00, time/task: 0m05s
epoch [1/10][194/2200], train loss: 0.0050276, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][195/2200], train loss: 1.6411483, frame_acc: 50.00, time/task: 0m00s
epoch [1/10][196/2200], train loss: 34.6718330, frame_acc: 75.00, time/task: 0m06s
epoch [1/10][197/2200], train loss: 0.3749338, frame_acc: 100.00, time/task: 0m02s
epoch [1/10][198/2200], train loss: 122.0927200, frame_acc: 25.00, time/task: 0m07s
epoch [1/10][199/2200], train loss: 9.9359589, frame_acc: 25.00, time/task: 0m02s
epoch [1/10][200/2200], train loss: 10.8331623, frame_acc: 50.00, time/task: 0m03s
